frame_id,timestamp_ms,x1,y1,x2,y2,status,track_state,occlusion_age,detector_source,x_cam,y_cam,z_cam,x_world,y_world,z_world,conf,x_world_raw,y_world_raw,z_world_raw,x_world_filt,y_world_filt,z_world_filt,sigma_x,sigma_y,sigma_z,mu_stationary,gate_d2
68,2269,686.05,478.37,1302.83,920.41,detected,STATIONARY,0,blue_hsv_shape,0.0407,0.1837,1.4375,1.1016,-0.0451,0.3250,0.922,1.0721,-0.0407,0.3250,1.1016,-0.0451,0.3250,0.0392,0.0392,0.0392,0.761,0.0496
69,2302,686.20,476.68,1301.40,904.69,detected,STATIONARY,0,blue_hsv_shape,0.0404,0.1697,1.4575,1.0987,-0.0453,0.3250,0.939,1.0966,-0.0404,0.3250,1.0987,-0.0453,0.3250,0.0392,0.0392,0.0392,0.762,0.0506
70,2336,686.39,476.20,1300.42,893.96,detected,STATIONARY,0,blue_hsv_shape,0.0402,0.1599,1.4714,1.0994,-0.0453,0.3250,0.938,1.1136,-0.0402,0.3250,1.0994,-0.0453,0.3250,0.0392,0.0392,0.0392,0.793,0.0545
71,2369,686.89,477.28,1297.92,907.25,detected,STATIONARY,0,blue_hsv_shape,0.0387,0.1720,1.4542,1.0964,-0.0450,0.3250,0.918,1.0926,-0.0387,0.3250,1.0964,-0.0450,0.3250,0.0392,0.0392,0.0392,0.791,0.0716
72,2402,687.24,478.07,1294.79,916.34,detected,STATIONARY,0,blue_hsv_shape,0.0368,0.1801,1.4426,1.0912,-0.0442,0.3250,0.918,1.0784,-0.0368,0.3250,1.0912,-0.0442,0.3250,0.0393,0.0393,0.0393,0.771,0.0606
73,2436,687.58,478.26,1292.83,921.96,detected,STATIONARY,0,blue_hsv_shape,0.0357,0.1851,1.4355,1.0852,-0.0432,0.3250,0.918,1.0698,-0.0357,0.3250,1.0852,-0.0432,0.3250,0.0393,0.0393,0.0393,0.745,0.0404
74,2469,687.80,477.58,1290.72,916.55,detected,STATIONARY,0,blue_hsv_shape,0.0347,0.1803,1.4424,1.0815,-0.0421,0.3250,0.931,1.0781,-0.0347,0.3250,1.0815,-0.0421,0.3250,0.0393,0.0393,0.0393,0.741,0.0141
75,2502,687.80,477.61,1286.65,916.74,detected,STATIONARY,0,blue_hsv_shape,0.0323,0.1804,1.4422,1.0784,-0.0406,0.3250,0.922,1.0778,-0.0323,0.3250,1.0784,-0.0406,0.3250,0.0393,0.0393,0.0393,0.741,0.0098
76,2536,686.77,476.84,1282.12,904.36,detected,STATIONARY,0,blue_hsv_shape,0.0292,0.1694,1.4580,1.0795,-0.0386,0.3250,0.941,1.0972,-0.0292,0.3250,1.0795,-0.0386,0.3250,0.0392,0.0392,0.0392,0.778,0.1433
77,2569,684.13,476.65,1277.02,886.78,detected,STATIONARY,0,blue_hsv_shape,0.0249,0.1533,1.4809,1.0859,-0.0360,0.3250,0.940,1.1251,-0.0249,0.3250,1.0859,-0.0360,0.3250,0.0392,0.0392,0.0392,0.856,0.4053
78,2603,682.69,477.50,1274.26,880.03,detected,STATIONARY,0,blue_hsv_shape,0.0225,0.1471,1.4898,1.0940,-0.0333,0.3250,0.941,1.1361,-0.0225,0.3250,1.0940,-0.0333,0.3250,0.0392,0.0392,0.0392,0.927,0.2152
79,2636,678.93,477.98,1271.31,871.56,detected,STATIONARY,0,blue_hsv_shape,0.0185,0.1391,1.5012,1.1038,-0.0301,0.3250,0.935,1.1499,-0.0185,0.3250,1.1038,-0.0301,0.3250,0.0392,0.0392,0.0392,0.922,0.2785
80,2669,675.42,478.51,1264.96,865.46,detected,STATIONARY,0,blue_hsv_shape,0.0125,0.1334,1.5094,1.1147,-0.0261,0.3250,0.939,1.1599,-0.0125,0.3250,1.1147,-0.0261,0.3250,0.0391,0.0391,0.0391,0.840,0.2394
