frame_id,timestamp_ms,x_world_raw_strict,y_world_raw_strict,x_world_filtered_strict,y_world_filtered_strict,x_world_raw_waypoint_calibrated,y_world_raw_waypoint_calibrated,x_world_filtered_waypoint_calibrated,y_world_filtered_waypoint_calibrated,z_world
213,7107,3.4232,0.9977,3.4191,0.9955,7.1398,-1.2165,7.1285,-1.2153,0.3250
214,7140,3.4229,0.9976,3.4195,0.9959,7.1389,-1.2165,7.1293,-1.2157,0.3250
215,7174,3.4223,0.9982,3.4198,0.9963,7.1361,-1.2180,7.1296,-1.2163,0.3250
216,7207,3.4217,0.9984,3.4199,0.9967,7.1335,-1.2188,7.1295,-1.2170,0.3250
217,7241,3.4212,0.9977,3.4200,0.9970,7.1327,-1.2179,7.1294,-1.2175,0.3250
218,7274,3.4208,0.9972,3.4200,0.9971,7.1318,-1.2173,7.1291,-1.2177,0.3250
219,7307,3.4204,0.9977,3.4199,0.9973,7.1298,-1.2184,7.1286,-1.2181,0.3250
220,7341,3.4201,0.9972,3.4198,0.9974,7.1297,-1.2176,7.1282,-1.2183,0.3250
221,7374,3.4199,0.9976,3.4197,0.9975,7.1283,-1.2186,7.1277,-1.2186,0.3250
222,7407,3.4198,0.9978,3.4196,0.9977,7.1275,-1.2191,7.1271,-1.2189,0.3250
223,7441,3.4198,0.9980,3.4195,0.9978,7.1271,-1.2194,7.1265,-1.2193,0.3250
224,7474,3.4787,1.0132,3.4305,1.0008,7.3160,-1.2058,7.1613,-1.2170,0.3250
225,7508,3.5164,1.0230,3.4473,1.0052,7.4372,-1.1971,7.2151,-1.2134,0.3250
226,7541,3.5372,1.0283,3.4660,1.0102,7.5038,-1.1923,7.2750,-1.2092,0.3250
227,7574,3.5389,1.0287,3.4830,1.0146,7.5093,-1.1919,7.3293,-1.2054,0.3250
228,7608,3.5365,1.0281,3.4974,1.0184,7.5016,-1.1924,7.3756,-1.2022,0.3250
229,7641,3.5325,1.0271,3.5092,1.0215,7.4888,-1.1933,7.4134,-1.1995,0.3250
230,7674,3.4881,1.0156,3.5111,1.0220,7.3462,-1.2036,7.4193,-1.1991,0.3250
231,7708,3.4590,1.0081,3.5068,1.0209,7.2531,-1.2103,7.4055,-1.2001,0.3250
232,7741,3.4406,1.0048,3.4989,1.0191,7.1916,-1.2173,7.3799,-1.2024,0.3250
233,7774,3.4305,1.0031,3.4895,1.0171,7.1578,-1.2213,7.3491,-1.2053,0.3250
234,7808,3.4311,1.0037,3.4813,1.0154,7.1590,-1.2221,7.3220,-1.2081,0.3250
235,7841,3.4281,1.0032,3.4728,1.0136,7.1489,-1.2232,7.2942,-1.2108,0.3250
236,7875,3.4267,1.0029,3.4648,1.0119,7.1442,-1.2237,7.2677,-1.2134,0.3250
237,7908,3.4229,1.0019,3.4568,1.0102,7.1321,-1.2246,7.2415,-1.2158,0.3250
238,7941,3.4246,1.0023,3.4499,1.0087,7.1377,-1.2241,7.2191,-1.2179,0.3250
239,7975,3.4229,1.0018,3.4435,1.0072,7.1325,-1.2244,7.1983,-1.2198,0.3250
240,8008,3.4283,1.0010,3.4389,1.0058,7.1529,-1.2191,7.1840,-1.2204,0.3250
241,8041,3.4312,1.0004,3.4355,1.0045,7.1644,-1.2158,7.1738,-1.2203,0.3250
242,8075,3.4325,1.0000,3.4329,1.0032,7.1701,-1.2140,7.1663,-1.2198,0.3250
243,8108,3.4575,1.0053,3.4353,1.0031,7.2519,-1.2061,7.1752,-1.2179,0.3250
244,8141,3.4768,1.0110,3.4413,1.0041,7.3126,-1.2031,7.1952,-1.2155,0.3250
245,8175,3.4747,1.0111,3.4464,1.0050,7.3049,-1.2048,7.2122,-1.2136,0.3250
246,8208,3.4723,1.0109,3.4507,1.0059,7.2966,-1.2061,7.2263,-1.2122,0.3250
247,8242,3.4855,1.0146,3.4572,1.0074,7.3386,-1.2036,7.2474,-1.2104,0.3250
248,8275,3.4915,1.0163,3.4641,1.0091,7.3574,-1.2025,7.2696,-1.2086,0.3250
249,8308,3.4945,1.0165,3.4708,1.0106,7.3682,-1.2006,7.2915,-1.2067,0.3250
250,8342,3.4974,1.0161,3.4772,1.0119,7.3791,-1.1978,7.3127,-1.2045,0.3250
251,8375,3.4989,1.0158,3.4831,1.0130,7.3852,-1.1962,7.3323,-1.2023,0.3250
252,8408,3.4958,1.0146,3.4876,1.0137,7.3758,-1.1962,7.3475,-1.2004,0.3250
253,8442,3.4289,0.9959,3.4795,1.0110,7.1632,-1.2091,7.3226,-1.2010,0.3250
254,8475,3.3789,0.9808,3.4629,1.0057,7.0062,-1.2166,7.2709,-1.2031,0.3250
255,8508,3.3452,0.9695,3.4417,0.9989,6.9023,-1.2194,7.2048,-1.2055,0.3250
256,8542,3.3243,0.9627,3.4186,0.9916,6.8377,-1.2215,7.1331,-1.2082,0.3250
