frame_id,timestamp_ms,x1,y1,x2,y2,status,track_state,occlusion_age,detector_source,x_cam,y_cam,z_cam,x_world,y_world,z_world,conf,x_world_raw,y_world_raw,z_world_raw,x_world_filt,y_world_filt,z_world_filt,sigma_x,sigma_y,sigma_z,mu_stationary,gate_d2
78,2603,684.31,475.25,1278.79,874.19,detected,STATIONARY,0,blue_hsv_shape,0.0566,0.3687,2.5845,2.4010,-0.0566,0.3250,0.938,2.4747,-0.0428,0.3250,2.4010,-0.0566,0.3250,0.0391,0.0391,0.0391,0.848,0.5278
79,2636,677.59,475.94,1272.93,870.42,detected,CONFIRMED,0,blue_hsv_shape,0.0512,0.3640,2.6018,2.4190,-0.0512,0.3250,0.935,2.4905,-0.0305,0.3250,2.4190,-0.0512,0.3250,0.0391,0.0391,0.0391,0.698,0.5983
80,2669,673.36,476.47,1265.76,867.10,detected,CONFIRMED,0,blue_hsv_shape,0.0443,0.3592,2.6199,2.4376,-0.0443,0.3250,0.939,2.5045,-0.0192,0.3250,2.4376,-0.0443,0.3250,0.0391,0.0391,0.0391,0.554,0.5280
81,2703,671.11,476.78,1259.83,863.55,detected,CONFIRMED,0,blue_hsv_shape,0.0367,0.3542,2.6385,2.4569,-0.0367,0.3250,0.939,2.5197,-0.0110,0.3250,2.4569,-0.0367,0.3250,0.0391,0.0391,0.0391,0.417,0.4758
82,2736,670.08,477.06,1253.72,861.32,detected,CONFIRMED,0,blue_hsv_shape,0.0286,0.3493,2.6566,2.4756,-0.0286,0.3250,0.941,2.5293,-0.0039,0.3250,2.4756,-0.0286,0.3250,0.0391,0.0391,0.0391,0.298,0.3098
83,2769,669.98,477.26,1250.50,859.89,detected,CONFIRMED,0,blue_hsv_shape,0.0210,0.3448,2.6734,2.4930,-0.0210,0.3250,0.941,2.5354,-0.0005,0.3250,2.4930,-0.0210,0.3250,0.0391,0.0391,0.0391,0.203,0.1647
84,2803,667.63,476.85,1245.94,858.40,detected,CONFIRMED,0,blue_hsv_shape,0.0131,0.3406,2.6890,2.5092,-0.0131,0.3250,0.939,2.5419,0.0065,0.3250,2.5092,-0.0131,0.3250,0.0391,0.0391,0.0391,0.126,0.1216
85,2836,665.82,477.52,1240.71,856.93,detected,CONFIRMED,0,blue_hsv_shape,0.0049,0.3368,2.7034,2.5242,-0.0049,0.3250,0.940,2.5483,0.0137,0.3250,2.5242,-0.0049,0.3250,0.0391,0.0391,0.0391,0.067,0.0832
86,2870,662.60,477.92,1237.37,855.30,detected,CONFIRMED,0,blue_hsv_shape,-0.0033,0.3332,2.7169,2.5381,0.0033,0.3250,0.934,2.5554,0.0204,0.3250,2.5381,0.0033,0.3250,0.0391,0.0391,0.0391,0.021,0.0545
87,2903,651.03,478.10,1226.99,853.08,detected,CONFIRMED,0,blue_hsv_shape,-0.0145,0.3297,2.7299,2.5516,0.0145,0.3250,0.931,2.5651,0.0429,0.3250,2.5516,0.0145,0.3250,0.0391,0.0391,0.0391,0.000,0.1911
88,2936,652.76,478.24,1221.43,851.96,detected,CONFIRMED,0,blue_hsv_shape,-0.0249,0.3265,2.7417,2.5638,0.0249,0.3250,0.942,2.5700,0.0469,0.3250,2.5638,0.0249,0.3250,0.0391,0.0391,0.0391,0.000,0.0320
89,2970,652.06,478.24,1218.91,850.01,detected,CONFIRMED,0,blue_hsv_shape,-0.0345,0.3235,2.7529,2.5754,0.0345,0.3250,0.937,2.5786,0.0503,0.3250,2.5754,0.0345,0.3250,0.0391,0.0391,0.0391,0.000,0.0157
90,3003,645.77,478.18,1217.53,847.56,detected,CONFIRMED,0,blue_hsv_shape,-0.0440,0.3205,2.7641,2.5869,0.0440,0.3250,0.925,2.5895,0.0584,0.3250,2.5869,0.0440,0.3250,0.0392,0.0392,0.0392,0.000,0.0251
91,3036,640.66,478.13,1218.35,845.25,detected,CONFIRMED,0,blue_hsv_shape,-0.0529,0.3176,2.7750,2.5983,0.0529,0.3250,0.919,2.5999,0.0630,0.3250,2.5983,0.0529,0.3250,0.0392,0.0392,0.0392,0.000,0.0068
92,3070,636.74,478.07,1219.05,842.58,detected,CONFIRMED,0,blue_hsv_shape,-0.0610,0.3146,2.7862,2.6098,0.0610,0.3250,0.916,2.6119,0.0666,0.3250,2.6098,0.0610,0.3250,0.0393,0.0393,0.0393,0.000,0.0028
93,3103,634.16,478.11,1220.00,841.13,detected,CONFIRMED,0,blue_hsv_shape,-0.0681,0.3118,2.7965,2.6205,0.0681,0.3250,0.915,2.6185,0.0685,0.3250,2.6205,0.0681,0.3250,0.0393,0.0393,0.0393,0.000,0.0037
94,3136,632.45,478.68,1220.90,847.68,detected,CONFIRMED,0,blue_hsv_shape,-0.0739,0.3110,2.7996,2.6237,0.0739,0.3250,0.912,2.5889,0.0687,0.3250,2.6237,0.0739,0.3250,0.0394,0.0394,0.0394,0.000,0.4962
95,3170,628.86,478.64,1221.48,849.74,detected,CONFIRMED,0,blue_hsv_shape,-0.0791,0.3109,2.7999,2.6240,0.0791,0.3250,0.904,2.5797,0.0715,0.3250,2.6240,0.0791,0.3250,0.0394,0.0394,0.0394,0.024,0.2925
96,3203,623.54,477.89,1193.12,842.37,detected,CONFIRMED,0,blue_hsv_shape,-0.0899,0.3096,2.8050,2.6293,0.0899,0.3250,0.939,2.6126,0.1073,0.3250,2.6293,0.0899,0.3250,0.0394,0.0394,0.0394,0.029,0.1783
97,3237,619.53,477.62,1174.47,837.00,detected,CONFIRMED,0,blue_hsv_shape,-0.1035,0.3073,2.8133,2.6379,0.1035,0.3250,0.937,2.6369,0.1318,0.3250,2.6379,0.1035,0.3250,0.0393,0.0393,0.0393,0.000,0.1714
